STX18	4	17	4516.896	86.875	122.21
RAB28	4	13	13034.721	110.631	202.98
SLC30A9	4	27	41725.61	76.352	381.66
FIP1L1	4	15	53982.347	74.802	457.63
CENPC1	4	19	68056.723	71.762	549.56
BMP2K	4	13	80012.786	78.216	656.71
INTU	4	18	128814.163	80.618	920.57
C6	5	21	41212.003	54.197	246.28
NDUFAF2	5	8	60353.683	153.752	382.81
RNF180	5	9	63616.752	168.904	398.08
TNPO1	5	19	72208.389	56.849	446.02
SCAMP1	5	10	77755.791	70.617	488
LNPEP	5	21	96347.261	85.115	614.49
HSD17B4	5	28	118860.78	89.37	767.68
SNX24	5	6	122310.094	110.694	786.77
SEC24A	5	8	134056.788	63.454	854.45
DIAPH1	5	6	140917.283	59.511	906.38
NR3C1	5	9	142701.107	118.849	927.99
DCTN4	5	8	150094.845	47.965	997.28
RUFY1	5	24	178944.323	49.479	1205.12
SRPK1	6	6	35953.607	84.875	302.33
ZNF451	6	8	57106.53	69.725	514.44
FILIP1	6	17	76128.266	106.493	819.58
DOPEY1	6	22	83906.959	54.511	861.19
RARS2	6	20	88318.594	75.617	879.97
HERPUD2	7	9	35670.225	59.802	367.91
CDK13	7	12	40047.606	107.194	414.94
CLIP2	7	11	73411.945	84.206	568.73
GTF2I	7	15	73777.125	67.986	569.79
POM121C	7	28	74918.737	65.259	573.72
PTPN12	7	18	77072.233	67.81	585.6
DPY19L2P2	7	30	102654.224	102.285	1057.82
COG5	7	19	106811.982	347.317	1092.93
MET	7	19	116173.109	100.449	1160.54
NRF1	7	11	129114.372	59.607	1240.42
ZNF767	7	6	148918.051	62.707	1456.48
PAXIP1	7	8	154395.397	52.11	1570.46
RBM33	7	25	155201.356	101.615	1586.15
WHSC1L1	8	11	38283.552	61.205	290.39
SLC20A2	8	10	42437.476	47.671	317.31
SGK3	8	8	67881.965	79.945	441.09
SPAG1	8	12	101282.981	78.758	656.18
PHF20L1	8	15	133901.802	51.125	852.42
IFT74	9	23	27002.279	100.885	216.09
UBAP2	9	32	33959.866	94.48	261.39
C9orf85	9	7	73747.005	61.29	494.95
GCNT1	9	6	78277.453	62.056	527.89
GKAP1	9	6	85568.766	48.87	587.54
KIF27	9	12	85675.433	66.366	587.54
C9orf174	9	58	99109.951	138.103	678.13
CNTRL	9	31	122934.007	86.831	889.74
ZNF33B	10	14	42426.274	55.635	310.57
IPMK	10	9	59661.845	70.566	394.5
FAM149B1	10	17	74637.632	66.623	559.14
DLG5	10	44	79259.317	74.437	587.53
CYP2C19	10	15	96557.358	90.006	718.35
C10orf76	10	9	103686.62	173.852	783.47
SUFU	10	7	104315.511	122.827	786.36
AP2A2	11	28	975.626	51.942	12.89
KIF18A	11	13	28032.457	61.241	391.04
CCDC73	11	15	32631.084	100.206	405.67
HIPK3	11	14	33298.758	67.825	411.34
TTC17	11	24	43414.744	114.272	484.97
AMBRA1	11	15	46449.506	148.118	509.94
AGBL2	11	15	47666.958	51.864	512.67
NRXN2	11	13	64184.307	75.343	926.3
KDM2A	11	19	66749.486	58.971	941.53
ARHGEF17	11	18	72726.431	55.874	1005.52
PAAF1	11	17	73291.752	48.404	1007.04
PPME1	11	10	73607.889	70.658	1007.81
ACER3	11	13	76351.371	72.144	1034.65
TRPC6	11	14	100854.902	51.845	1183.27
ADIPOR2	12	13	1720.681	89.906	23.13
GALNT8	12	11	4726.149	51.775	68.33
IFLTD1	12	9	25572.583	49.636	333.32
PPHLN1	12	13	41046.705	158.969	420.86
DIP2B	12	23	49365.389	119.131	487.38
ATF7	12	6	52246.765	68.471	540.82
C12orf26	12	14	81336.859	120.37	752.48
IFT81	12	8	109091.115	80.205	965.1
ATXN2	12	8	110440.946	124.982	969.35
PITPNM2	12	11	122061.086	48.078	1047.97
HTR2A	13	6	46337.397	61.089	266.13
FAM179B	14	21	44553.529	104.412	231.29
GCH1	14	7	54409.549	58.614	294.54
FBXO34	14	9	54851.016	75.912	295.46
PTGR2	14	17	73427.757	61.808	421.71
YLPM1	14	15	74333.218	65.256	425.09
TDP1	14	18	89539.409	79.815	544.53
TMEM87A	15	14	40325.078	55.604	199.19
TP53BP1	15	22	41535.698	72.138	203.63
SPG11	15	19	42690.606	95.72	204.76
NARG2	15	19	58529.427	52.669	290.69
VPS13C	15	116	60028.731	189.681	293.03
MAP2K1	15	10	64541.876	54.451	327.39
PAQR5	15	15	67450.671	65.507	362.35
ATF7IP2	16	7	10437.018	92.614	95.2
TXNDC11	16	14	11708.066	54.907	114.97
CPPED1	16	7	12734.267	135.599	127.93
PARN	16	14	14524.285	172.116	134.37
SMG1	16	84	18773.11	85.487	153.94
GTF3C1	16	23	27418.715	76.883	226.54
PHLPP2	16	25	70270.992	69.656	1048.93
AP1G1	16	33	70353.473	54.944	1048.93
HSD17B2	16	9	80657.761	62.726	1149.97
ZFPM1	16	6	87104.427	49.111	1260.8
KIAA0753	17	25	6451.425	55.309	117.09
EPN2	17	10	19151.607	48.094	282.24
AKAP10	17	7	19782.823	59.381	285.22
CCDC144C	17	19	20205.77	80.281	285.29
TAOK1	17	13	24831.329	125.53	532.57
EFCAB5	17	33	25376.09	166.327	534.53
CPD	17	7	25777.686	50.319	535.65
MAPT	17	32	41426.493	61.931	657.41
STXBP4	17	17	50457.333	112.316	735.95
CCDC57	17	23	77702.865	100.178	1053.83
THOC1	18	19	229.471	49.082	141.49
CLUL1	18	12	611.161	48.03	142.99
SPIRE1	18	14	12532.932	184.212	239.37
CEP192	18	44	13072.82	83.577	241.09
GATAD2A	19	6	19437.419	60.858	454.1
PYGB	20	34	25201.114	48.26	232.01
ABHD12	20	14	25260.281	73.677	232.01
TM9SF4	20	8	30189.084	55.695	452.92
IFT52	20	13	41683.72	50.385	540.69
USP25	21	21	16103.142	131.493	27.57
BRWD1	21	40	39536.539	111.583	202.9
DGCR2	22	21	17431.669	50.76	48.31
PI4KA	22	57	19455.566	126.796	60.08
LIMK2	22	14	29978.022	52.459	167.66
EP300	22	29	39873.685	61.289	304.22
MEI1	22	7	40482.609	85.493	305.22
SMC1B	22	34	44151.308	64.486	360.38
